,term,entity_id,text_1,text_2,text_3
0,aboriginal,native.a.03,"['native', 'aboriginal']",characteristic of or relating to people inhabiting a region from the beginning,"['native Americans', 'the aboriginal peoples of Australia']"
2,aboriginal,native.n.01,"['native', 'indigen', 'indigene', 'aborigine', 'aboriginal']",an indigenous person who was born in a particular place,"['the art of the natives of the northwest coast', 'the Canadian government scrapped plans to tax the grants to aboriginal college students']"
4,aboriginal,australia.n.01,"['Australia', 'Commonwealth_of_Australia']","a nation occupying the whole of the Australian continent; Aboriginal tribes are thought to have migrated from southeastern Asia 20,000 years ago; first Europeans were British convicts sent there as a penal colony",[]
5,aboriginal,aboriginal.s.02,"['aboriginal', 'primal', 'primeval', 'primaeval', 'primordial']",having existed from the beginning; in an earliest or original stage or state,"['aboriginal forests', 'primal eras before the appearance of life on earth', 'the forest primeval', 'primordial matter', 'primordial forms of life']"
7,aboriginal,dravidian.n.01,['Dravidian'],a member of one of the aboriginal inhabitants of India,[]
8,aboriginal,alaska_native.n.01,"['Alaska_Native', 'Alaskan_Native', 'Native_Alaskan']",a member or descendant of any of the aboriginal peoples of Alaska,[]
9,barbarian,barbarian.s.01,"['barbarian', 'barbaric', 'savage', 'uncivilized', 'uncivilised', 'wild']",without civilizing influences; ; ; ; -Margaret Meade,"['barbarian invaders', 'barbaric practices', 'a savage people', 'fighting is crude and uncivilized especially if the weapons are efficient', 'wild tribes']"
11,barbarian,peasant.n.03,"['peasant', 'barbarian', 'boor', 'churl', 'Goth', 'tyke', 'tike']",a crude uncouth ill-bred person lacking culture or refinement,[]
12,barbarian,savage.n.01,"['savage', 'barbarian']",a member of an uncivilized people,[]
13,barbarian,attila.n.01,"['Attila', 'Attila_the_Hun', 'Scourge_of_God', 'Scourge_of_the_Gods']",king of the Huns; the most successful barbarian invader of the Roman Empire (406-453),[]
14,barbarian,odoacer.n.01,"['Odoacer', 'Odovacar', 'Odovakar']",Germanic barbarian leader who ended the Western Roman Empire in 476 and became the first barbarian ruler of Italy (434-493),[]
15,barbarians,sack.v.01,"['sack', 'plunder']",plunder (a town) after capture,['the barbarians sacked Rome']
16,berber,berber.n.01,['Berber'],a member of an indigenous people of northern Africa,[]
17,berber,berber.n.02,['Berber'],a cluster of related dialects that were once the major language of northern Africa west of Egypt; now spoken mostly in Morocco,[]
18,berber,almoravid.n.01,['Almoravid'],a member of a Muslim dynasty of Berber warriors that flourished from 1049 to 1145 and that established political dominance over northwestern Africa and Spain,[]
19,berber,moor.n.01,['Moor'],one of the Muslim people of north Africa; of mixed Arab and Berber descent; converted to Islam in the 8th century; conqueror of Spain in the 8th century,[]
20,berber,tuareg.n.01,['Tuareg'],a member of a nomadic Berber people of the Sahara,[]
21,berber,riff.n.01,"['Riff', 'Riffian']",a Berber living in northern Morocco,[]
22,berber,tuareg.n.02,['Tuareg'],the dialect of Berber spoken by the Tuareg,[]
23,berbers,berbers.n.01,"['Berbers', 'Arab-Berbers']",an ethnic minority descended from Berbers and Arabs and living in northern Africa,[]
25,black,black.a.02,['black'],of or belonging to a racial group especially of sub-Saharan African origin; - Martin Luther King Jr.,['a great people--a black people--...injected new meaning and dignity into the veins of civilization']
27,black,black-and-white.s.03,['black-and-white'],of a situation that is sharply divided into mutually exclusive categories,"['he rejected a black-and-white world', 'there are no black-and-white certainties', 'there were no grey areas, you were either for him or against him, he was all black-and-white']"
30,black,negritude.n.01,['Negritude'],an ideological position that holds Black culture to be independent and valid on its own terms; an affirmation of the African cultural heritage,[]
